vegetable_id,name,scientific_name,category,color,season,origin,availability,shelf_life_days,storage_requirements,growing_conditions,health_benefits,common_varieties,price_per_kg,kcal_per_100g,protein_g_per_100g,fiber_g_per_100g
1,Carrot,Daucus carota,Root,Orange,Winter,Middle East,Year-round,30,Refrigeration,"Well-drained soil, full sunlight","Improves vision, rich in Vitamin A","Nantes, Imperator, Chantenay",1.5,41.0,0.9,2.8
2,Spinach,Spinacia oleracea,Leafy,Green,Spring/Fall,Central Asia,Year-round,7,Refrigeration,"Moist soil, partial shade","High in iron, good for bone health","Savoy, Flat-leaf, Semi-savoy",2.0,23.0,2.9,2.2
3,Tomato,Solanum lycopersicum,Fruit,Red,Summer,South America,Seasonal,7,"Cool, dry place","Well-drained soil, full sunlight","Rich in antioxidants, supports heart health","Roma, Cherry, Beefsteak",3.0,18.0,0.9,1.2
4,Broccoli,Brassica oleracea,Flower,Green,Fall/Winter,Mediterranean,Year-round,10,Refrigeration,"Cool climate, well-drained soil","Boosts immune system, rich in Vitamin C","Calabrese, Sprouting, Romanesco",2.5,34.0,2.8,2.6
5,Potato,Solanum tuberosum,Tuber,Brown,Fall,South America,Year-round,60,"Cool, dark place","Loose soil, moderate watering","Provides energy, good source of potassium","Russet, Yukon Gold, Red",1.2,77.0,2.0,2.2
6,Bell Pepper,Capsicum annuum,Fruit,"Red, Green, Yellow",Summer,Central America,Year-round,10,Refrigeration,"Warm climate, full sunlight","Rich in Vitamin C, supports immune system","Green, Red, Yellow, Orange",3.5,31.0,1.0,2.1
7,Kale,Brassica oleracea var. sabellica,Leafy,Dark Green,Fall/Winter,Europe,Year-round,7,Refrigeration,"Cool climate, rich soil","High in antioxidants, promotes heart health","Curly, Lacinato, Red Russian",5.0,49.0,4.3,2.0
8,Eggplant,Solanum melongena,Fruit,Purple,Summer,India,Year-round,7,"Cool, dry place","Warm climate, well-drained soil","Supports brain health, high in fiber","Black Beauty, Japanese, Graffiti",2.2,25.0,1.0,3.0
9,Zucchini,Cucurbita pepo,Fruit,Green,Summer,Central America,Seasonal,5,Refrigeration,"Warm climate, well-drained soil","Low in calories, supports digestion","Black Zucchini, Round, Yellow",1.8,17.0,1.2,1.0
10,Cauliflower,Brassica oleracea var. botrytis,Flower,White,Fall/Winter,Mediterranean,Year-round,10,Refrigeration,"Cool climate, rich soil","Rich in fiber, supports digestive health","White, Purple, Romanesco",3.0,25.0,1.9,2.0
